1,study,"137,208",study (n) 137208 study (v) 18872 studied (j) 215 studiously (r) 58 studious (j) 41 studying (n) Edu 20,See the [Introduction] sheet for an explanation of this list
2,develop,"128,974",development (n) 63509 develop (v) 52543 developing (j) 9039 developmental (j) Edu 5716 developed (j) 3513 developer (n) 2526 developmentally (r) Edu 573underdeveloped (j) 370 undeveloped (j) 283 underdevelopment (n) His 214 redevelopment (n) 144 redevelop (v) 48 developing (n) Law 18,
3,group,"125,012",group (n) 122011 grouping (n) Edu 1744 subgroup (n) 1603 group (v) 1398 intergroup (j) Soc 559 regroup (v) His 172 grouped (j) Edu 34 regrouping (n) Edu 20,"CLICK HERE to access the entire list, with hyperlinks to extensive information on each word"
4,system,"116,141",system (n) 110176 systematic (j) 4090 systematically (r) 1815 subsystem (n) Sci 796 unsystematic (j) 60,
5,relate,"114,267",relationship (n) 50744 relate (v) 28592 relation (n) 23867 related (j) 6945 relational (j) 1498 unrelated (j) 1388 interrelated (j) 731 interrelationship (n) 502relatedness (n) 434 interrelation (n) Hum 191,
6,research,"112,649",research (n) 83325 researcher (n) 25445 research (v) 3879,
7,social,"103,635",social (j) 99744 socially (r) 3891 antisocial (j) Med 1080,
8,result,"96,016",result (n) 72083 result (v) 20138 resulting (j) 3063 resultant (j) 732,
9,use,"93,271",use (v) 184698 use (n) 64527 user (n) 14141 useful (j) 11584 used (j) 6037 usefulness (n) 1229 useless (j) 1002 usable (j) 737 misuse (n) 626 reuse (v) Sci 503 unused (j) 380 reuse (n) 260 usefully (r) 247 reusable (j) Sci 239 misuse (v) 227 usability (n) Sci 144 unusable (j) 112 useable (j) 68 uselessness (n) Hum 43 misused (j) 22uselessly (r) 17,
10,provide,"93,212",provide (v) 93212 provider (n) Med 5708 provided (c) 4620 providing (c) 233,
11,however,"90,906",however (r) 90906,
12,increase,"85,843",increase (v) 35289 increase (n) 15833 increased (j) 12996 increasingly (r) 12280 increasing (j) 9445,
13,experience,"79,681",experience (n) 56541 experience (v) 20056 experienced (j) 3084 experiential (j) Edu 901 inexperienced (j) 476 inexperience (n) 132,
14,level,"79,201",level (n) 78162 level (j) Edu 3119 level (v) 1145 high-level (j) 917 leveling (n) 76 leveling (j) 46 leveler (n) 21 leveled (j) 12 levelly (r) Soc 1,
